id_plot;xl93;yl93;elevation;pH;slope;expo;depth_layer1;depth_total;text_layer1;text_layer2;rockContent;swhc;CN_ratio;humus
207803;947305;6510690;776;6.42780834604348;76;0;NA;5;0;5;8;11.264;17.5989027480952;25
213423;947391;6520680;1359;6.01246569754902;58;100;2;9;5;7;0;101.61;17.9121585626531;40
217154;955246;6504627;302;7.41925403644444;0;NA;NA;7;0;4;3;63.882;14.6164616466667;55
219616;939451;6526743;1159;6.110226356;56;330;NA;5;0;5;7;16.896;17.8100667214286;25
220779;939365;6516753;670;6.56775159146939;31;138;NA;4;0;5;4;33.228;17.9642282411364;45
221880;943292;6508726;1498;5.9184965943617;52;200;NA;9;0;5;1;109.512;14.9845651235556;31
223654;951314;6523081;577;6.4708413413;45;75;NA;3;0;5;4;23.328;16.9908466260656;50
226985;941328;6512739;846;6.73760632731667;40;120;NA;2;0;7;5;3.825;21.3788287921818;42
237599;937315;6510776;1239;6.27622491661765;35;380;NA;9;0;5;0;121.68;16.753038940303;25
238925;935351;6514789;1241;4.50034381211111;30;20;3;9;5;7;0;111.735;18.4248424844444;31
239247;953368;6518630;1329;6.00712491838235;70;140;NA;9;0;6;1;113.10975;17.8180076074194;40
240324;933301;6508812;1285;5.40634811751724;10;90;5;8;5;7;0;103.4475;23.5875510623077;31
249151;937401;6520766;1033;6.06380957013514;20;135;4;9;5;7;1;41.868;20.2221936477143;42
254174;941500;6532721;919;5.86873782935556;19;395;NA;9;0;6;6;10.312;20.6194937679545;20
254720;937315;6510776;1245;6.16649618807692;43;346;3;5;5;7;4;39.195;16.69029403;42
255226;957382;6520594;779;6.49087805446667;50;270;3;6;6;5;3;58.49025;15.2790279028571;40
255528;957296;6510604;516;6.54904071489189;72;115;NA;9;0;5;3;85.176;16.1822633874194;45
258575;943292;6508726;1304;5.82120565546512;44;180;5;9;5;7;1;95.58;16.0651779464286;31
261108;943464;6528707;692;6.5855902673125;88;115;NA;3;0;5;4;23.328;19.9561445508511;31
262516;941414;6522730;1308;6.13301754315517;56;90;NA;7;0;5;4;35.136;17.490849085;42
268762;945256;6504713;894;6.64087194763953;48;340;NA;4;0;5;3;38.766;18.1012513019118;31
270287;939278;6506762;1132;6.38396599337097;64;100;6;9;7;1;4;47.76;18.7216499427778;42
275200;935265;6504799;888;6.32754033028814;63;95;NA;2;0;5;1;23.976;18.6478826458929;40
279047;939192;6496772;965;7.41196643347368;73;260;3;7;5;7;2;70.824;26.3627925290625;55
301476;941277;6506745;991;6.6877622543913;72;250;NA;5;0;0;8;0;21.1925478261905;25
317553;933422;6522799;675;6.34778911222222;21;75;5;9;6;5;1;111.70575;13.6962496248;50
318805;937263;6504782;902;6.61009281885714;47;185;3;4;5;2;4;31.6485;17.9971497145;31
321415;945462;6528690;730;6.07175931883333;8;25;NA;9;0;5;0;121.68;19.1671474838462;40
322143;943326;6512722;1025;4.920420042;51;10;NA;6;0;7;0;71.2725;17.7797779775;31
323332;937177;6494791;464;7.69281656738095;66;203;NA;5;0;6;7;17.496;23.6030445152632;55
325928;939313;6510759;1076;6.02122431159459;25;105;4;8;6;5;1;91.773;18.391067678;22
327058;943240;6502732;989;6.54630914440541;36;203;NA;8;0;7;4;56.6865;18.4485115180556;31
329059;933336;6512808;1391;6.06450185028571;22;80;NA;3;0;6;7;1.347;21.6042229225;21
336241;945290;6508709;792;7.43300251076316;74;135;NA;3;0;5;2;33.696;22.9317619265625;55
342117;939227;6500768;1544;6.56877481085;74;280;NA;3;0;5;4;10.368;21.1200176622642;31
345602;955280;6508623;827;6.33181718175;83;147;NA;2;0;7;5;11.475;23.98939894;31
347813;943412;6522713;902;5.53910457722222;7;195;5;9;7;8;0;106.47;22.2168883566667;31
350735;949303;6510672;1277;6.37448752566667;72;150;NA;4;0;5;7;16.614;19.8420382583784;25
350922;939399;6520749;918;6.46181964628571;75;31;NA;4;0;6;8;7.068;18.734953496;25
352986;935300;6508795;1113;6.30974105745833;37;315;NA;9;0;5;2;89.856;14.844571413913;45
361949;941277;6506745;1272;6.97690887263636;80;195;NA;5;0;6;8;10.206;24.882388239;25
364333;955367;6518613;997;6.91010540641667;105;130;NA;3;0;6;7;6.735;26.0584430534884;21
372792;951353;6516650;1417;6.59238732569565;72;95;NA;4;0;5;6;20.448;19.3531353135;25
405634;951388;6520646;892;6.30936313636667;64;295;NA;6;0;7;6;26.316;16.1029973970968;31
414641;941397;6520732;938;6.98206228086567;48;130;NA;3;0;6;6;14.368;23.7984930571698;25
429540;931321;6510827;1409;5.93876141464103;29;100;5;9;6;5;0;124.1175;20.447719772;31
429664;933370;6516805;789;6.4558109145;42;3;3;5;5;7;2;52.26;11.7567910638462;55
430877;959328;6514583;896;6.3459892239375;46;165;NA;5;0;5;3;44.352;16.573282328125;31
432917;935334;6512791;1381;6.15067830187234;30;NA;NA;4;0;0;8;0;24.5601151027273;25
442449;955315;6512619;1217;6.97504691489744;87;219;NA;7;0;6;7;15.135;23.3192238143243;45
443669;937384;6518768;1062;5.94396627165;6;90;2;5;6;5;5;32.265;19.168839961282;42
453438;941483;6530722;1291;6.0377327333;20;150;NA;5;0;7;7;5.508;20.7585133516667;40
455115;947288;6508692;1240;6.54113995610526;60;340;NA;4;0;5;3;38.766;19.3379926231373;50
456271;935248;6502801;488;6.40615644180435;20;110;5;7;4;2;3;56.196;15.3798046475556;55
465026;939433;6524745;1060;6.09566256613333;61;323;NA;5;0;7;3;34.272;16.1844755907143;40
469390;963342;6516546;777;6.0181440019375;42;280;NA;8;0;6;0;112.0275;14.0634777757143;31
508230;936281;6506788;1103;6.2508637113125;NA;0;5;9;7;9;0;96.72;18.2968296833333;45
516161;942517;6534710;807;6.04823807383333;15;350;4;9;6;5;0;114.21;20.2957252252174;22
520030;939468;6528742;792;6.29368447962963;6;300;1;5;6;5;3;48.66225;20.0188907774074;45
521234;938417;6522756;911;6.31259037670588;68;345;NA;3;0;6;7;9.429;22.0927975147059;25
524151;940381;6518742;745;6.84737316585714;80;85;NA;5;0;0;7;0;24.473747375;22
524667;932268;6504825;688;6.39154043980952;37;320;5;8;5;7;1;93.10275;21.5403540355;40
527702;930304;6508838;863;6.43542287566667;75;308;NA;7;0;9;6;27.612;20;31
532229;948408;6522670;806;5.72294425740741;50;340;5;8;5;7;1;93.10275;16.1149448281481;40
537644;954385;6520620;876;6.28712904633333;75;390;NA;9;0;7;2;84.864;14.945244525;40
537945;946444;6526683;1151;6.48173091385185;52;310;NA;4;0;5;5;25.56;24.2389623573077;25
548305;946358;6516693;1148;6.464439844;50;126;NA;9;0;7;2;78.336;23.507350736;45
